"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;2017;"Umw-Ausstoß: Insgesamt";;897523.572982743;0;0;0;0;0;0;0;0;8185.356872;218383.519805089;185712.457360488;0;94075.815547776;17223.774801688;19569.4544;30265.569501105;30991.74020019;27001.7831064;0;0;0;0;0;0;0;0;0;0;217597.599176007;0;48516.502212;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Steinkohlenbergbau, Braunkohlenbergbau";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Kraftwerke, Heizwerke";;15933.123396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12264.900732;0;3668.222664;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Erdöl- und Erdgasgewinnung";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Mineralölverarbeitung (einschl Stein- und Braunkohlenbrikettfabriken)";;41136.9059577274;0;0;0;0;0;0;0;0;0;0;6.95310575157156;0;43.95291;552.043272720639;7572.01828755908;0;1709.65534306336;25836.9331433211;0;0;3115.38842306321;0;0;0;0;0;0.422274248428443;0;2297.395458;0;2.14374;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Sonstige Energieerzeuger";;1475.45080908876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.4831690887647;0;334.954;0;0;0;0;0;1111.01364;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Verbrauch: Insgesamt";;58545.4801628162;0;0;0;0;0;0;0;0;0;0;6.95310575157156;0;43.95291;552.043272720639;7572.01828755908;0;1709.65534306336;25836.9331433211;0;0;3144.87159215198;0;334.954;0;0;0;0.422274248428443;0;15673.30983;0;3670.366404;0;05.03.2020
Baden-Württemberg;2017;"Fackel- und Leitungsverluste";;10390.7844744345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230.433;0;0;0;0;0;4855.51747443454;0;5304.834;0;05.03.2020
Baden-Württemberg;2017;"Energieangebot nach Umwandlungsbilanz";;1068534.16139591;2354.04434;0;1620.70014;0;0;935.42827905;4525.31807240154;0;2303.85113362248;105783.309489871;214640.419259293;11321.556769993;109679.217620288;519.221085384868;1678.3497;23240.1813144013;7045.19873932;0;0;0;230034.571166927;0.2475;105.0851534673328;0;0;6020.71296;62575.471059763295;9054.46701068424;229493.759383442;0;39541.301808;6061.749409999999;05.03.2020
Baden-Württemberg;2017;"Nichtenergetischer Verbrauch";;25229.309398563;0;0;142.8685;0;0;0;0;0;2303.85113362248;0;0;0;0;0;0;22624.2345649405;4.43389;0;0;0;153.52972;0;0;0;0;0;0;0;0;0;0;0.39159;05.03.2020
Baden-Württemberg;2017;"Statistische Differenzen";;2627.407012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2627.407012;0;05.03.2020
Baden-Württemberg;2017;Endenergieverbrauch;;1045932.25900935;2354.04434;0;1477.83164;0;0;935.42827905;4525.31807240154;0;0;105783.309489871;214640.419259293;11321.556769993;109679.217620288;519.221085384868;1678.3497;615.946749460779;7040.76484932;0;0;0;229881.041446927;0.2475;105.0851534673328;0;0;6020.71296;62575.471059763295;9054.46701068424;229493.759383442;0;42168.70882;6061.35782;05.03.2020
Baden-Württemberg;2017;"Gew Steine u Erden, sonst Bergbau, Verarbeitendes Gewerbe insgesamt";;223708.401362218;2262.4466;0;1477.83164;0;0;0.17595;4525.31807240154;0;0;0;19.6869378992727;0;6520.69695446864;519.221085384868;1678.3497;449.14562;606.40605;0;0;0;70930.4486297308;0.2475;105.0851534673328;0;0;1.51296;16716.83993686553;39.54951;97612.854282;0;14181.22696;6061.35782;05.03.2020
Baden-Württemberg;2017;Schienenverkehr;;6025.24359042747;0;0;0;0;0;0;0;0;0;0;1005.15517198105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.1036184464233;0;4966.9848;0;0;0;05.03.2020
